"Source Line","Source","CPU_CLK_UNHALTED.THREAD_ANY","CPU_CLK_UNHALTED.REF_TSC","CYCLE_ACTIVITY.STALLS_L1D_PENDING","CYCLE_ACTIVITY.CYCLES_NO_EXECUTE","CYCLE_ACTIVITY.STALLS_L2_PENDING","CYCLE_ACTIVITY.STALLS_LDM_PENDING","CPU_CLK_THREAD_UNHALTED.REF_XCLK_ANY","MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","MEM_LOAD_UOPS_RETIRED.L1_MISS","MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","MEM_LOAD_UOPS_RETIRED.L2_MISS","MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","MEM_LOAD_UOPS_RETIRED.L3_HIT","MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","MEM_LOAD_UOPS_RETIRED.L3_MISS","MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","MEM_UOPS_RETIRED.ALL_LOADS_PS","MEM_UOPS_RETIRED.ALL_STORES","MEM_UOPS_RETIRED.ALL_STORES_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","Total_Latency_MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","CPU_CLK_UNHALTED.THREAD_ANY","CPU_CLK_UNHALTED.REF_TSC","CYCLE_ACTIVITY.STALLS_L1D_PENDING","CYCLE_ACTIVITY.CYCLES_NO_EXECUTE","CYCLE_ACTIVITY.STALLS_L2_PENDING","CYCLE_ACTIVITY.STALLS_LDM_PENDING","CPU_CLK_THREAD_UNHALTED.REF_XCLK_ANY","MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","MEM_LOAD_UOPS_RETIRED.L1_MISS","MEM_LOAD_UOPS_RETIRED.L1_MISS_PS","MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","MEM_LOAD_UOPS_RETIRED.L2_MISS","MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","MEM_LOAD_UOPS_RETIRED.L3_HIT","MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","MEM_LOAD_UOPS_RETIRED.L3_MISS","MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","MEM_UOPS_RETIRED.ALL_LOADS_PS","MEM_UOPS_RETIRED.ALL_STORES","MEM_UOPS_RETIRED.ALL_STORES_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_HIT_PS","Total_Latency_MEM_UOPS_RETIRED.ALL_LOADS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_HIT_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_MISS_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_HIT_PS","Total_Latency_MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS","Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_MISS_PS"
"186","!$OMP END DO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"187","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"188","!$OMP MASTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"189","  iter=(z_max-z_min+1+4)*(y_max-y_min+1+4)*(x_max-x_min+1+4)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"190","  tmpFlop=iter*2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"191","  tmpMem=iter*6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"192","!$OMP END MASTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"193","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"194","  ELSEIF(sweep_number.EQ.3.AND.direction.EQ.3)THEN ! x first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"195","!$OMP DO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"196","    DO l=z_min-2,z_max+2","4000006","4000006","0","0","10000015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"197","      DO k=y_min-2,y_max+2","42000063","24000036","30000045","20000030","20000030","30000045","0","0","0","0","0","0","0","0","0","0","500015","0","25000075","10000015","0","0","7695023085","0","0","0","0","0","0","21","12","3","2","2","3","0","0","0","0","0","0","0","0","0","0","1","0","5","1","0","0","5","0","0","0","0","0","0"
"198","        DO j=x_min-2,x_max+2","328000492","360000540","190000285","140000210","220000330","190000285","40000060","0","0","2500075","2500075","0","2501050","0","1500630","0","1000030","0","5000015","20000030","0","0","30000090","0","0","0","0","0","0","164","180","19","14","22","19","4","0","0","5","5","0","10","0","6","0","2","0","1","2","0","0","1","0","0","0","0","0","0"
"199","          post_vol(j,k,l)=volume(j,k,l)","8428012642","8250012375","6630009945","7420011130","6790010185","6550009825","300000450","17500525","760001140","32000960","33000990","14000420","19508190","25510710","10504410","10000600","6000180","21751305","1645004935","260000390","786011790","88780133170","309755929265","3719723170","500280015","4619939560","6193185790","4193125790","768023040","4214","4125","663","742","679","655","30","35","76","64","66","28","78","102","42","40","12","87","329","26","786","76","329","87","40","101","28","35","3"
"200","          pre_vol(j,k,l)=post_vol(j,k,l)+vol_flux_z(j  ,k  ,l+1)-vol_flux_z(j,k,l)","27062040593","26338039507","19240028860","23280034920","21070031605","19580029370","740001110","13500405","1290001935","99002970","98002940","46001380","62026040","54272785","35514910","37752265","23000690","20251215","2030006090","780001170","306004590","192830289245","279070837210","4016240960","6481888890","9403197685","7188715655","1619048570","135504065","13531","13169","1924","2328","2107","1958","74","27","129","198","196","92","248","217","142","151","46","81","406","78","306","129","406","81","151","217","92","27","12"
"201","        ENDDO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"202","      ENDDO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"203","    ENDDO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"204","!$OMP END DO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"205","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"206","!$OMP MASTER","0","2000003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"207","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"208","  iter=(z_max-z_min+1+4)*(y_max-y_min+1+4)*(x_max-x_min+1+4)","0","2000003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"209","  tmpFlop=iter*2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"210","  tmpMem=iter*6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"211","!$OMP END MASTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"212","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"213","  ENDIF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"214","  !$OMP MASTER","0","0","0","0","10000015","0","0","0","0","0","0","0","250105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"215","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"216","  flop=flop+tmpFlop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"217","  mem=mem+tmpMem ","10000015","2000003","10000015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"218","  tmpFlop=0  ","2000003","0","20000030","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"219","  tmpMem=0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"220","  !$OMP END MASTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"221","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"222","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"223","!----------------------------------- PRE and POST Volume calculation complete ----------------------------------","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"224","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"225","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"226","  IF(direction.EQ.1)THEN","12000018","28000042","10000015","10000015","10000015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","14","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"227","    IF(which_vel.EQ.1) THEN","6000009","6000009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"228","!$OMP DO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"229","      DO l=z_min,z_max+1","0","6000009","0","0","0","10000015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"230","        DO k=y_min,y_max+1","28000042","10000015","10000015","30000045","30000045","30000045","0","0","20000030","0","0","0","0","0","0","0","0","0","35000105","20000030","0","140000210","480001440","0","0","0","0","0","0","14","5","1","3","3","3","0","0","2","0","0","0","0","0","0","0","0","0","7","2","0","2","7","0","0","0","0","0","0"
"231","          DO j=x_min-2,x_max+2","192000288","162000243","30000045","100000150","30000045","60000090","10000015","0","0","1000030","1000030","0","250105","0","250105","0","0","0","0","30000045","0","0","0","0","0","0","0","0","0","96","81","3","10","3","6","1","0","0","2","2","0","1","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"232","            ! Find staggered mesh mass fluxes, nodal masses and volumes.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233","            node_flux(j,k,l)=0.125_8*(mass_flux_x(j  ,k-1,l  )+mass_flux_x(j  ,k,l  )  &","6684010026","6642009963","5190007785","4820007230","5050007575","5220007830","280000420","3500105","1660002490","13000390","13000390","5000150","3251365","4001680","750315","1250075","1000030","2000120","2150006450","180000270","348005220","66030099045","71710215130","58003480","255765345","48270265","56001680","604018120","0","3342","3321","519","482","505","522","28","7","166","26","26","10","13","16","3","5","2","8","430","18","348","166","430","8","5","16","10","7","0"
"234","                                     +mass_flux_x(j+1,k-1,l  )+mass_flux_x(j+1,k,l  )  &","2412003618","2318003477","1400002100","1830002745","1580002370","1530002295","40000060","500015","530000795","3500105","3500105","4500135","1750735","2250945","1750735","250015","500015","250015","805002415","140000210","0","4540006810","32235096705","1750105","2000120","18757875","37001110","10000300","0","1206","1159","140","183","158","153","4","1","53","7","7","9","7","9","7","1","1","1","161","14","0","53","161","1","1","9","9","1","0"
"235","                                     +mass_flux_x(j  ,k-1,l-1)+mass_flux_x(j  ,k,l-1)  &","2040003060","1998002997","1570002355","1550002325","1630002445","1570002355","60000090","500015","1040001560","3500105","3500105","5000150","1500630","1500630","250105","1750105","0","750045","960002880","60000090","1000015","34990052485","44810134430","8000480","16751005","518717770","51001530","3500105","0","1020","999","157","155","163","157","6","1","104","7","7","10","6","6","1","7","0","3","192","6","1","104","192","3","7","6","10","1","0"
"236","                                     +mass_flux_x(j+1,k-1,l-1)+mass_flux_x(j+1,k,l-1))","1782002673","1652002478","1030001545","1110001665","1070001605","1110001665","90000135","0","1330001995","2000060","2000060","2500075","2000840","500210","1000420","750045","500015","750045","1430004290","40000060","0","33040049560","39915119745","66754005","7500450","6502730","26000780","0","0","891","826","103","111","107","111","9","0","133","4","4","5","8","2","4","3","1","3","286","4","0","133","286","3","3","2","5","0","0"
"237","          ENDDO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"238","        ENDDO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"239","      ENDDO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"240","!$OMP END DO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"241","!$OMP MASTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"242","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"243","  iter=(z_max-z_min+2)*(y_max-y_min+2)*(x_max-x_min+1+4)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"244","  tmpFlop=iter*8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"245","  tmpMem=iter*9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"246","   flop=flop+tmpFlop !sc 27664","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"247","   mem=mem+tmpMem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"248","   tmpFlop=0 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"249","   tmpMem=0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"250","!$OMP END MASTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"251","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"252","!And do I need to calc the node mass for all 3 directions, or just once?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"253","!$OMP DO","0","2000003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"254","      DO l=z_min,z_max+1","0","2000003","0","10000015","0","0","0","0","0","0","0","0","250105","250105","0","0","0","0","0","0","0","0","0","0","0","2000840","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"255","        DO k=y_min,y_max+1","30000045","18000027","20000030","10000015","20000030","20000030","0","0","80000120","0","0","0","0","0","0","0","0","0","115000345","0","0","600000900","935002805","0","0","0","0","0","0","15","9","2","1","2","2","0","0","8","0","0","0","0","0","0","0","0","0","23","0","0","8","23","0","0","0","0","0","0"
"256","          DO j=x_min-1,x_max+2","538000807","502000753","230000345","180000270","120000180","210000315","10000015","0","40000060","0","0","0","500210","0","0","0","0","0","5000015","0","0","470000705","35000105","0","0","0","0","0","0","269","251","23","18","12","21","1","0","4","0","0","0","2","0","0","0","0","0","1","0","0","4","1","0","0","0","0","0","0"
"257","            ! Staggered cell mass post advection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"258","            node_mass_post(j,k,l)=0.125_8*(density1(j  ,k-1,l  )*post_vol(j  ,k-1,l  )                   &","4234006351","4014006021","2280003420","2470003705","2310003465","2370003555","130000195","1500045","5940008910","5500165","5500165","0","2501050","2501050","1750735","0","3500105","1250075","6140018420","80000120","345005175","69670104505","81385244155","9750585","0","167820455","0","14500435","0","2117","2007","228","247","231","237","13","3","594","11","11","0","10","10","7","0","7","5","1228","8","345","594","1228","5","0","10","0","3","0"
"259","                                          +density1(j  ,k  ,l  )*post_vol(j  ,k  ,l  )                   &","6516009774","6472009708","5420008130","5500008250","5680008520","5510008265","250000375","4500135","110000165","4000120","4000120","5000150","2501050","3501470","1750735","2250135","2000060","2500150","295000885","40000060","0","950001425","10355031065","20501230","16751005","57524150","88002640","496514895","0","3258","3236","542","550","568","551","25","9","11","8","8","10","10","14","7","9","4","10","59","4","0","11","59","10","9","14","10","9","0"
"260","                                          +density1(j-1,k-1,l  )*post_vol(j-1,k-1,l  )                   &","888001332","914001371","270000405","290000435","310000465","310000465","0","0","1170001755","500015","500015","0","750315","250105","0","0","0","250015","1225003675","110000165","1000015","10390015585","30700092100","1750105","0","2000840","0","0","0","444","457","27","29","31","31","0","0","117","1","1","0","3","1","0","0","0","1","245","11","1","117","245","1","0","1","0","0","0"
"261","                                          +density1(j-1,k  ,l  )*post_vol(j-1,k  ,l  )                   &","640000960","580000870","160000240","180000270","270000405","190000285","10000015","0","710001065","500015","500015","0","1500630","250105","500210","0","0","250015","660001980","30000045","0","8550012825","11490034470","2000120","0","3501470","0","0","0","320","290","16","18","27","19","1","0","71","1","1","0","6","1","2","0","0","1","132","3","0","71","132","1","0","1","0","0","0"
"262","                                          +density1(j  ,k-1,l-1)*post_vol(j  ,k-1,l-1)                   &","1312001968","1254001881","440000660","630000945","640000960","590000885","30000045","500015","640000960","6000180","6000180","0","4751995","0","1250525","0","2000060","500030","750002250","30000045","0","17380026070","8175024525","3500210","0","0","0","126503795","0","656","627","44","63","64","59","3","1","64","12","12","0","19","0","5","0","4","2","150","3","0","64","150","2","0","0","0","1","0"
"263","                                          +density1(j  ,k  ,l-1)*post_vol(j  ,k  ,l-1)                   &","4014006021","3772005658","3400005100","3300004950","3010004515","3280004920","140000210","3500105","470000705","5000150","5000150","7500225","750315","7002940","250105","3750225","0","2000120","635001905","20000030","0","9110013665","14670044010","15000900","39252355","339142380","59001770","59001770","0","2007","1886","340","330","301","328","14","7","47","10","10","15","3","28","1","15","0","8","127","2","0","47","127","8","15","28","15","7","0"
"264","                                          +density1(j-1,k-1,l-1)*post_vol(j-1,k-1,l-1)                   &","1092001638","1026001539","180000270","260000390","170000255","170000255","20000030","0","500000750","1500045","1500045","0","750315","250105","250105","0","0","0","400001200","0","0","17200025800","7855023565","0","0","1750735","0","0","0","546","513","18","26","17","17","2","0","50","3","3","0","3","1","1","0","0","0","80","0","0","50","80","0","0","1","0","0","0"
"265","                                          +density1(j-1,k  ,l-1)*post_vol(j-1,k  ,l-1))","790001185","736001104","210000315","270000405","250000375","200000300","50000075","0","380000570","500015","500015","0","750315","250105","250105","0","500015","250015","480001440","50000075","0","11450017175","11430034290","2000120","0","1750735","0","0","0","395","368","21","27","25","20","5","0","38","1","1","0","3","1","1","0","1","1","96","5","0","38","96","1","0","1","0","0","0"
"266","          ENDDO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"267","        ENDDO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"268","      ENDDO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"269","!$OMP END DO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"270","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"271","!$OMP MASTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"272","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"273","      iter=(z_max-z_min+2)*(y_max-y_min+2)*(x_max-x_min+1+3)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"274","      tmpFlop=iter*16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"275","      tmpMem=iter*17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"276","      flop=flop+tmpFlop !sc 48464","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"277","      mem=mem+tmpMem","2000003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"278","      tmpFlop=0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"279","      tmpMem=0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"280","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"281","!$OMP END MASTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"282","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"283","!$OMP DO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"284","      DO l=z_min,z_max+1","2000003","0","0","0","0","10000015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"285","        DO k=y_min,y_max+1","24000036","26000039","30000045","10000015","0","20000030","0","0","10000015","0","0","0","0","0","0","0","0","0","5000015","0","0","3660005490","40000120","0","0","0","0","0","0","12","13","3","1","0","2","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0"
"286","          DO j=x_min-1,x_max+2","122000183","112000168","80000120","110000165","60000090","60000090","10000015","0","0","1000030","1000030","0","1000420","0","250105","0","500015","0","0","0","0","0","0","0","0","0","0","0","0","61","56","8","11","6","6","1","0","0","2","2","0","4","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"287","            ! Staggered cell mass pre advection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"288","            node_mass_pre(j,k,l)=node_mass_post(j,k,l)-node_flux(j-1,k,l)+node_flux(j,k,l)","14240021360","13908020862","12780019170","12830019245","12730019095","12620018930","420000630","15500465","720001080","48001440","48001440","13000390","32013440","33013860","10254305","9750585","19000570","16000960","2025006075","340000510","364005460","97610146415","288820866460","3498459895","838050280","6124321135","2257067710","2834585035","290008700","7120","6954","1278","1283","1273","1262","42","31","72","96","96","26","128","132","41","39","38","64","405","34","364","72","404","64","39","131","26","31","4"
"289","          ENDDO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"290","        ENDDO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"291","      ENDDO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"292","!$OMP END DO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"293","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"294","!$OMP MASTER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"296","     iter=(z_max-z_min+2)*(y_max-y_min+2)*(x_max-x_min+4)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"297","     tmpFlop=iter*2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"298","     tmpMem=iter*4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"299","     flop=flop+tmpFlop !sc 51064","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"300","     mem=mem+tmpMem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
